Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
       1.000                    3.000                               11.000
       1.000                    3.000                               38.000
       1.000                   11.000                               21.000
       1.000                   21.000                               37.000
       1.000                   37.000                               38.000
       2.000                    4.000                               12.000
       2.000                    4.000                               37.000
       2.000                   12.000                               29.000
       2.000                   21.000                               29.000
       2.000                   21.000                               37.000
       3.000                   11.000                               13.000
       3.000                   13.000                               31.000
       3.000                   23.000                               31.000
       3.000                   23.000                               38.000
       4.000                   12.000                               14.000
       4.000                   14.000                               23.000
       4.000                   23.000                               38.000
       4.000                   37.000                               38.000
       5.000                   15.000                               22.000
       5.000                   15.000                               25.000
       5.000                   22.000                               39.000
       5.000                   25.000                               41.000
       5.000                   39.000                               41.000
       6.000                   10.000                               16.000
       6.000                   10.000                               39.000
       6.000                   16.000                               30.000
       6.000                   22.000                               30.000
       6.000                   22.000                               39.000
       7.000                   17.000                               24.000
       7.000                   17.000                               34.000
       7.000                   24.000                               40.000
       7.000                   26.000                               34.000
       7.000                   26.000                               40.000
       8.000                   18.000                               26.000
       8.000                   18.000                               32.000
       8.000                   24.000                               32.000
       8.000                   24.000                               40.000
       8.000                   26.000                               40.000
       9.000                   19.000                               25.000
       9.000                   19.000                               35.000
       9.000                   25.000                               41.000
       9.000                   27.000                               35.000
       9.000                   27.000                               41.000
      10.000                   16.000                               20.000
      10.000                   20.000                               28.000
      10.000                   28.000                               42.000
      10.000                   39.000                               42.000
      11.000                   13.000                               43.000
      11.000                   21.000                               29.000
      11.000                   29.000                               43.000
      12.000                   14.000                               44.000
      12.000                   29.000                               43.000
      12.000                   43.000                               44.000
      13.000                   31.000                               44.000
      13.000                   43.000                               44.000
      14.000                   23.000                               31.000
      14.000                   31.000                               44.000
      15.000                   22.000                               30.000
      15.000                   25.000                               33.000
      15.000                   30.000                               45.000
      15.000                   33.000                               45.000
      16.000                   20.000                               48.000
      16.000                   30.000                               45.000
      16.000                   45.000                               48.000
      17.000                   24.000                               32.000
      17.000                   32.000                               46.000
      17.000                   34.000                               46.000
      18.000                   26.000                               34.000
      18.000                   32.000                               46.000
      18.000                   34.000                               46.000
      19.000                   25.000                               33.000
      19.000                   33.000                               47.000
      19.000                   35.000                               47.000
      20.000                   28.000                               36.000
      20.000                   36.000                               48.000
      27.000                   28.000                               36.000
      27.000                   28.000                               42.000
      27.000                   35.000                               36.000
      27.000                   41.000                               42.000
      33.000                   45.000                               47.000
      35.000                   36.000                               47.000
      36.000                   47.000                               48.000
      39.000                   41.000                               42.000
      45.000                   47.000                               48.000
High Percentile Vertices(x) High Percentile Vertices(y)          High Percentile Vertices(z)
      82.500                   67.500                               94.481
      82.500                   67.500                              102.455
      90.000                   67.500                               91.396
      90.000                   67.500                              102.669
      97.500                   67.500                               75.292
