actual_x,actual_y,actual_z
100.845,41,23.9
101.466,41,23.902
102.087,41,23.908
102.708,41,23.921
103.33,41,23.938
103.95,41,23.961
104.571,41,23.99
105.192,41,24.024
105.812,41,24.063
106.431,41,24.108
107.051,41,24.158
107.669,41,24.214
108.288,41,24.274
108.906,41,24.341
109.523,41,24.413
110.139,41,24.49
110.755,41,24.572
111.37,41,24.66
111.984,41,24.754
112.598,41,24.852
113.21,41,24.956
113.822,41,25.066
114.433,41,25.18
115.042,41,25.3
115.651,41,25.426
116.258,41,25.557
116.865,41,25.693
117.47,41,25.834
118.073,41,25.98
118.676,41,26.132
119.277,41,26.289
119.877,41,26.452
120.475,41,26.619
121.072,41,26.792
121.667,41,26.97
122.261,41,27.153
122.853,41,27.342
123.443,41,27.535
124.032,41,27.734
124.619,41,27.938
125.204,41,28.147
125.787,41,28.361
126.369,41,28.58
126.948,41,28.804
127.526,41,29.033
128.101,41,29.268
128.675,41,29.507
129.246,41,29.751
129.815,41,30.001
130.382,41,30.255
130.946,41,30.514
131.509,41,30.778
132.069,41,31.047
132.627,41,31.321
133.182,41,31.6
133.735,41,31.884
134.285,41,32.172
134.833,41,32.466
135.378,41,32.764
135.92,41,33.066
136.46,41,33.374
136.997,41,33.686
137.532,41,34.003
138.064,41,34.325
138.592,41,34.651
139.118,41,34.982
139.641,41,35.317
140.161,41,35.657
140.678,41,36.001
141.193,41,36.35
141.703,41,36.704
142.211,41,37.062
142.716,41,37.424
143.218,41,37.791
143.716,41,38.162
144.211,41,38.537
144.703,41,38.917
145.191,41,39.301
145.676,41,39.69
146.158,41,40.082
146.636,41,40.479
147.111,41,40.88
147.582,41,41.285
148.05,41,41.694
148.514,41,42.107
148.974,41,42.524
149.431,41,42.945
149.884,41,43.371
150.333,41,43.8
150.779,41,44.233
151.22,41,44.67
151.658,41,45.111
152.092,41,45.555
152.522,41,46.004
152.949,41,46.456
153.371,41,46.911
153.789,41,47.371
154.203,41,47.834
154.613,41,48.301
155.019,41,48.771
155.421,41,49.245
155.819,41,49.722
156.213,41,50.203
156.602,41,50.687
156.987,41,51.175
157.368,41,51.666
157.745,41,52.16
158.117,41,52.657
158.485,41,53.158
158.848,41,53.662
159.207,41,54.169
159.562,41,54.679
159.912,41,55.193
160.257,41,55.709
160.598,41,56.228
160.935,41,56.751
161.267,41,57.276
161.594,41,57.804
161.917,41,58.335
162.235,41,58.869
162.549,41,59.405
162.857,41,59.944
163.161,41,60.486
163.46,41,61.031
163.755,41,61.578
164.045,41,62.128
164.329,41,62.68
164.609,41,63.234
164.885,41,63.791
165.155,41,64.351
165.42,41,64.913
165.681,41,65.477
165.936,41,66.043
166.187,41,66.612
166.432,41,67.182
166.673,41,67.755
166.909,41,68.33
167.139,41,68.907
167.365,41,69.486
167.585,41,70.067
167.8,41,70.65
168.011,41,71.235
168.216,41,71.821
168.416,41,72.409
168.611,41,72.999
168.8,41,73.591
168.985,41,74.184
169.164,41,74.779
169.338,41,75.376
169.507,41,75.974
169.671,41,76.573
169.829,41,77.174
169.982,41,77.776
170.13,41,78.379
170.273,41,78.984
170.41,41,79.59
170.542,41,80.197
170.669,41,80.805
170.79,41,81.415
170.906,41,82.025
171.017,41,82.637
171.122,41,83.249
171.222,41,83.862
171.317,41,84.476
171.406,41,85.091
171.49,41,85.707
171.569,41,86.323
