Cast-off Reconstruction Inputs:,,,,,,,,,,,,,,,
,Room Length (cm) (X-dimension),Room Width (cm) (Y-dimension),Room Height (cm) (Z-dimension),,,,Distance to Room Corner X-dimension (cm),Distance to Room Corner Y-dimension (cm),Distance to Room Corner Z-dimension (cm),,,,,,
Room Dimensions:,248,100,243,,,Distance to Room Corner from Measurement Origin:,0,0,0,,,,,,
,,,,,,,,,,,,,,,
,Actual Center X-coordinate (cm),Actual Center Y-coordinate (cm),Actual Center Z-coordinate (cm),Actual Radius (cm),,,Stain Width Measurement Uncertainty (mm),Cast-off Reconstruction Resolution (cm),,,,,,,
Actual Cast-off Circle (if known):,,,,,,Uncertainty/Resolution:,0.1,7.5,,,,,,,
,,,,,,,,,,,,,,,
"Stain Location, Orientation, and Impact Angle Inputs:",,,,,,,,,,,,,,,
Project,Pattern,Stain,Location x,Location y,Location z,Surface,M axis (mm),m axis (mm),alpha (deg),beta (deg),gamma (deg),Intersect x,Intersect y,Intersect z,"Measured Uncertainty in Gamma Angles (deg),  [Default: - Leave Empty -]"
cast_2019_05-20,Green Pattern (Upward),BG24,0,10,121,A Front Wall,5,3.53553390593274,45,-86.9,202.451546456004,140.8,56.9,242,
cast_2019_05-20,Green Pattern (Upward),BG23,0,20,151,A Front Wall,5,2.86788218175523,35,-86,202.451546456004,188.3,66.1,242,
cast_2019_05-20,Green Pattern (Upward),BG22,0,30,181,A Front Wall,5,2.1130913087035,25,-88.7,202.451546456004,203.4,66.1,242,
cast_2019_05-20,Green Pattern (Upward),BG21,0,40,211,A Front Wall,5,1.2940952255126,15,88.9,202.451546456004,240.9,56.1,242,
cast_2019_05-20,Green Pattern (Upward),BG20,0,50,235,A Front Wall,5,0.435778713738291,5,87.3,202.451546456004,96,52.6,242,
cast_2019_05-20,Green Pattern (Upward),CG18,25,60,242,B Ceiling,5,4.98097349045873,85,81.2,21.96,248,38.8,126.9,
cast_2019_05-20,Green Pattern (Upward),CG17,50,70,242,B Ceiling,5,4.82962913144534,75,-89.4,21.96,248,56.8,68.8,
cast_2019_05-20,Green Pattern (Upward),CG16,75,80,242,B Ceiling,5,4.53153893518325,65,83.6,21.96,248,37.2,6.2,
cast_2019_05-20,Green Pattern (Upward),CG15,100,90,242,B Ceiling,5,4.09576022144496,55,69.7,21.96,198.6,0,45.5,
cast_2019_05-20,Green Pattern (Upward),CG14,125,95,242,B Ceiling,5,3.53553390593274,45,83,21.96,136.5,55.1,0,
cast_2019_05-20,Green Pattern (Upward),FG12,150,100,235,C Left Wall,5,2.1130913087035,25,-66.5,247.55,122.6,9.5,0,
cast_2019_05-20,Green Pattern (Upward),FG11,175,100,211,C Left Wall,5,1.71010071662834,20,-76.1,262.55,122.7,22.2,0,
cast_2019_05-20,Red Pattern (Downward),FRB,200,100,181,C Left Wall,5,1.2940952255126,15,88,277.55,2.6,45.8,242,
cast_2019_05-20,Red Pattern (Downward),FRC,225,100,151,C Left Wall,5,0.868240888334652,10,88,292.55,0,46.7,241.7,
cast_2019_05-20,Green Pattern (Upward),FG10,240,100,121,C Left Wall,5,0.435778713738291,5,-77.4,307.55,80.4,7.5,0,
cast_2019_05-20,Red Pattern (Downward),GRO,248,95,100,D Back Wall,5,4.53153893518325,65,86.8,30,137.7,23.8,242,
cast_2019_05-20,Green Pattern (Upward),GG06,248,90,80,D Back Wall,5,4.33012701892219,60,-76.6,15,0,70.4,181,
cast_2019_05-20,Red Pattern (Downward),GRN,248,80,60,D Back Wall,5,4.09576022144496,55,-77,360,141.3,72.5,242,
cast_2019_05-20,Red Pattern (Downward),GRP,248,70,40,D Back Wall,5,3.83022221559489,50,-84.9,345,110,46.7,242,
cast_2019_05-20,Red Pattern (Downward),GRQ,248,60,20,D Back Wall,5,3.53553390593274,45,-74.9,337.55,142.3,91.4,229.9,
cast_2019_05-21,Green Pattern (Upward),FG12,240,50,0,E Floor,5,4.82962913144534,75,84.6,95,199.6,1,46.5,
cast_2019_05-21,Green Pattern (Upward),FRB,225,40,0,E Floor,5,4.53153893518325,65,70.7,115,137.5,56.1,1,
cast_2019_05-21,Green Pattern (Upward),FRC,200,30,0,E Floor,5,4.09576022144496,55,84,125,123.6,10.5,1,
cast_2019_05-22,Green Pattern (Upward),FG11,175,20,0,E Floor,5,3.53553390593274,45,-65.5,145,123.7,23.2,1,
cast_2019_05-22,Red Pattern (Downward),GRO,150,10,0,E Floor,5,2.86788218175523,35,-75.1,158.04,3.6,46.8,243,
cast_2019_05-22,Red Pattern (Downward),GG07,125,0,20,F Right Wall,5,2.5,30,89,265,1,47.7,242.7,
cast_2019_05-23,Green Pattern (Upward),GRN,100,0,40,F Right Wall,5,2.1130913087035,25,89,255,81.4,8.5,1,
cast_2019_05-23,Red Pattern (Downward),GRP,75,0,60,F Right Wall,5,1.71010071662834,20,-76.4,245,138.7,24.8,243,
cast_2019_05-23,Green Pattern (Upward),GRQ,50,0,80,F Right Wall,5,1.2940952255126,15,87.8,235,1,71.4,182,
cast_2019_05-24,Red Pattern (Downward),FG13,25,0,100,F Right Wall,5,0.868240888334652,10,-75.6,224.3,142.3,73.5,243,
