Swineblood_Trial_INPUT_OUTPUT.txt



INPUTS:

Spread_Fact_cu =15
Spread_Fact_theta =0.34907
Spread_Fact_upsilon =0.34907
res =7.5
user_clstr =0
dwn_samp_stains =1
dwnsamp =1
sampsize =3
overlap =2
alpha_clstr =0
dist_clstr =0
opti_space =1

Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
       1.000                    3.000                                5.000
       1.000                    3.000                                6.000
       1.000                    4.000                                5.000
       1.000                    4.000                                6.000
       2.000                    3.000                                5.000
       2.000                    3.000                                6.000
       2.000                    4.000                                5.000
       2.000                    4.000                                6.000
High Percentile Vertices(x) High Percentile Vertices(y)          High Percentile Vertices(z)
     120.000                   37.500                               92.137
     120.000                   37.500                              104.511
     117.679                   37.500                               97.500
     126.201                   37.500                               97.500
     120.000                   33.738                               97.500
     120.000                   41.764                               97.500
Medium Percentile Faces(x) Medium Percentile Faces(y)           Medium Percentile Faces(z)
       1.000                    5.000                                7.000
       1.000                    5.000                               13.000
       1.000                    7.000                               35.000
       1.000                   13.000                               31.000
       1.000                   16.000                               31.000
       1.000                   16.000                               35.000
       2.000                    6.000                                8.000
       2.000                    6.000                               21.000
       2.000                    8.000                               17.000
       2.000                   15.000                               21.000
       2.000                   15.000                               33.000
       2.000                   17.000                               33.000
       3.000                   16.000                               34.000
       3.000                   16.000                               35.000
       3.000                   18.000                               22.000
       3.000                   18.000                               34.000
       3.000                   22.000                               35.000
       4.000                   17.000                               33.000
       4.000                   17.000                               36.000
       4.000                   18.000                               34.000
       4.000                   18.000                               36.000
       4.000                   33.000                               34.000
       5.000                    7.000                                9.000
       5.000                    9.000                               19.000
       5.000                   13.000                               19.000
       6.000                    8.000                               10.000
       6.000                   10.000                               27.000
       6.000                   21.000                               27.000
       7.000                    9.000                               28.000
       7.000                   22.000                               35.000
       7.000                   22.000                               37.000
       7.000                   28.000                               37.000
       8.000                   10.000                               12.000
       8.000                   12.000                               24.000
       8.000                   17.000                               36.000
       8.000                   24.000                               36.000
       9.000                   19.000                               25.000
       9.000                   25.000                               38.000
       9.000                   28.000                               38.000
      10.000                   12.000                               42.000
      10.000                   27.000                               40.000
      10.000                   40.000                               42.000
      11.000                   28.000                               37.000
      11.000                   28.000                               38.000
      11.000                   29.000                               37.000
      11.000                   29.000                               41.000
      11.000                   38.000                               41.000
      12.000                   24.000                               30.000
      12.000                   30.000                               42.000
      13.000                   14.000                               20.000
      13.000                   14.000                               31.000
      13.000                   19.000                               20.000
      14.000                   15.000                               21.000
      14.000                   15.000                               32.000
      14.000                   20.000                               21.000
      14.000                   31.000                               32.000
      15.000                   32.000                               33.000
      16.000                   31.000                               34.000
      18.000                   22.000                               23.000
      18.000                   23.000                               24.000
      18.000                   24.000                               36.000
      19.000                   20.000                               26.000
      19.000                   25.000                               26.000
      20.000                   21.000                               27.000
      20.000                   26.000                               27.000
      22.000                   23.000                               29.000
      22.000                   29.000                               37.000
      23.000                   24.000                               30.000
      23.000                   29.000                               30.000
      25.000                   26.000                               39.000
      25.000                   38.000                               39.000
      26.000                   27.000                               40.000
      26.000                   39.000                               40.000
      29.000                   30.000                               41.000
      30.000                   41.000                               42.000
      31.000                   32.000                               34.000
      32.000                   33.000                               34.000
      38.000                   39.000                               41.000
      39.000                   40.000                               42.000
      39.000                   41.000                               42.000
Medium Percentile Vertices(x) Medium Percentile Vertices(y)        Medium Percentile Vertices(z)
     120.000                   30.000                               88.394
     120.000                   30.000                              107.416
     127.500                   30.000                               93.388
     127.500                   30.000                              103.558
     120.000                   37.500                               83.851
     120.000                   37.500                              111.902
     127.500                   37.500                               86.346
     127.500                   37.500                              110.687
     120.000                   45.000                               87.949
     120.000                   45.000                              108.492
     127.500                   45.000                               92.777
     127.500                   45.000                              105.773
     118.585                   30.000                               90.000
     116.046                   30.000                               97.500
     118.059                   30.000                              105.000
     123.389                   30.000                               90.000
     126.154                   30.000                              105.000
     129.856                   30.000                               97.500
     114.647                   37.500                               90.000
     113.536                   37.500                               97.500
     114.373                   37.500                              105.000
     131.318                   37.500                               90.000
     134.582                   37.500                               97.500
     133.754                   37.500                              105.000
     118.087                   45.000                               90.000
     115.292                   45.000                               97.500
     116.387                   45.000                              105.000
     124.006                   45.000                               90.000
     130.606                   45.000                               97.500
     128.349                   45.000                              105.000
     120.000                   28.684                               90.000
     120.000                   26.240                               97.500
     120.000                   28.156                              105.000
     127.500                   28.256                               97.500
     127.500                   32.094                               90.000
     127.500                   30.439                              105.000
     127.500                   42.883                               90.000
     120.000                   46.719                               90.000
     120.000                   49.444                               97.500
     120.000                   47.819                              105.000
     127.500                   47.338                               97.500
     127.500                   45.588                              105.000
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
       1.000                   11.000                               13.000
       1.000                   11.000                               25.000
       1.000                   13.000                               70.000
       1.000                   25.000                               55.000
       1.000                   30.000                               55.000
       1.000                   30.000                               70.000
       2.000                    4.000                               12.000
       2.000                    4.000                               59.000
       2.000                   12.000                               39.000
       2.000                   29.000                               39.000
       2.000                   29.000                               59.000
